food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamins,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
crispy chicken strips tyson,145,6,7.7,14.5,1,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,6
nectarine,66,0.5,0.066,0.1,0.2,15.8,11.8,1.6,2.6,0,0,131.4,1.60,0.081,9,0.1,0.4,13.5,0.002,39,301.5,0,20.735
kiwifruit gold,51,0.2,0.008,0.099,0.051,12.8,10,0.8,1.1,0,0.046,66.8,22.02,13.8,0.1,0.2,9.7,0.072,20.3,255.2,0.003,0.077,159.686
prickly pear raw,8,0.072,0,0,0,1.9,0.2,0.001,1,0,0.065,17,0.36,34.2,0.051,0.021,13.1,0.1,2.1,24.7,0.023,0.073,39.263
pineapple,45,0.1,0.074,0.001,0.087,11.8,8.9,0.5,1.3,0,0.099,77.4,7.21,0.061,11.7,0.091,0.3,10.8,0.8,7.2,98.1,0.061,13.97
rowan,253,4.6,0.6,0,0,54.5,32.1,5.2,14.1,0,0.083,162.8,9.80,34.2,2.4,5,73,0.4,118.6,298.7,0,1,176.4
muscadine grapes,3,0.056,0,0,0,0.8,0,0.014,0.2,0,0.024,5.1,0.00,2.2,0.023,0.014,0.8,0.1,1.4,12.2,0,0.027,3.38
heidelbeeren jutro,17,0.2,0.039,2.5,2.4,0.4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.6
prunes stewed,316,0.7,0.085,0.5,0.1,83.2,0,3.4,0,0,0.039,190.4,0.09,67.2,0.6,3.3,58.8,0.3,103.6,988.4,0,0.7,157.8
tangerine,40,0.2,0.07,0.097,0.05,10.1,8,0.6,1.4,0,0.056,64.7,3.44,28.1,0.001,0.1,9.1,0.057,15.2,126.2,0.008,0.078,60.8
prunes,237,0.5,0.057,0.3,0.1,62.3,0,2.6,0,0,0.076,2.8,0.07,50.4,0.4,2.5,44.8,0.2,78.4,740.6,0,0.5,118.3
lemon peel,1,0.002,0.057,0.024,0.095,0.3,0.054,0.032,0.2,0,0.028,1.6,0.45,2.7,0.015,0.032,0.3,0,0.2,3.2,0.048,0.036,5.934
banana,134,0.5,0.2,0.096,0.1,34.3,18.3,1.6,3.9,0,0.055,112.4,2.35,0.035,7.5,0.1,0.4,40.5,0.4,33,537,0.049,41.084
raspberries,5,0.034,0.005,0.063,0.098,1.2,0.4,0.1,0.7,0,0.054,8.6,0.46,0.031,2.5,0.034,0.015,2.2,0.017,2.9,15.1,0.028,2.207
apricot,17,0.1,0.03,0.099,0.028,3.9,3.2,0.5,0.7,0,0.02,30.2,0.64,0.039,4.6,0.012,0.1,3.5,0.056,8.1,90.7,0.031,5.334
strawberry guava,4,0.008,0.039,0.004,0.041,1,0,0.01,0.3,0,0.059,4.8,0.37,1.3,0,0.071,1,0,1.6,17.5,0,0,4.931
kiwifruit green,42,0.4,0.095,0.084,0.2,10.1,6.2,0.8,2.1,0,0.096,57.3,10.86,0.091,23.5,0.002,0.2,11.7,0.064,23.5,215.3,0.034,13.588
figs,37,0.2,0.068,0.008,0.078,9.6,8.1,0.4,1.5,0,0.049,39.6,0.19,17.5,0.079,0.2,8.5,0.024,7,116,0.083,0.06,30.4
clementine,35,0.1,0,0,0,8.9,6.8,0.6,1.3,0,0.044,64.1,6.05,0,22.2,0.093,0.1,7.4,0.035,15.5,131,0,10.954
orange,86,0.2,0.008,0.099,0.005,21.6,17.2,1.7,4.4,0,0,159.6,16.41,0,73.6,0.094,0.2,18.4,0.057,25.8,333,0.035,28.073
bartlett pear,112,0.3,0,0,0,26.6,17.2,0.7,5.5,0,0.047,148.9,1.35,15.9,0.1,0.3,10.6,0.091,19.5,178.8,0.044,0.1,57.1
red white currants,63,0.2,0.043,0.091,0.089,15.5,8.3,1.6,4.8,0,0.056,94,7.69,37,0.1,1.1,14.6,0.2,49.3,308,0.079,0.3,106.1
blueberries,84,0.5,0.047,0.043,0.2,21.4,14.7,1.1,3.6,0,0.015,124.6,2.56,0.041,8.9,0.063,0.4,8.9,0.5,17.8,114,0.027,26.767
mulberries,6,0.049,0.004,0.016,0.065,1.5,1.2,0.2,0.3,0,0.021,13.2,0.94,0.074,5.9,0.041,0.3,2.7,0,5.7,29.1,0.083,2.163
java plum,2,0.029,0,0,0,0.5,0,0.034,0,0,0.063,2.5,0.07,0.6,0,0.054,0.5,0,0.5,2.4,0,0,1.624
blue cheese,106,8.6,5.6,2.3,0.2,0.7,0.2,6.4,0,22.5,0.3,12.7,0.07,158.4,0.004,0.063,6.9,0.054,116.1,76.8,0.035,0.8,174.154
eggnog,224,10.6,6.6,3.3,0.5,20.4,20.4,11.6,0,149.9,0.1,209.7,0.80,330.2,0.051,0.5,48.3,0.024,276.9,419.1,0.094,1.2,377.2
beer light,96,0,0,0,0,5.4,0.3,0.8,0,0,0.095,313.1,0.05,13.2,0.095,0.014,16.5,0.094,39.6,69.3,0.077,0.044,19.456
beer budweiser,12,0,0,0,0,0.9,0,0.1,0,0,0.095,27.4,0.00,1.2,0.095,0,2.1,0.038,3.8,9.7,0,0,2.2
weizenbier erdinger,220,18,13,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,18
beer light budweiser,9,0,0,0,0,0.4,0,0.066,0,0,0.016,28,0.00,0.9,0.088,0,2.1,0.007,3.2,7.7,0,0,1.32
beer,142,0,0,0,0,11.7,0,1.5,0,0,0.067,303.5,0.06,13.2,0.096,0.031,19.8,0.085,46.2,89.1,0.087,0.001,26.436
root beer,202,0,0,0,0,52.3,52.3,0,0,0,0.068,440.2,0.00,0,24.7,0.037,0.2,4.9,0.059,0,4.9,0.095,52.334
